%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909748943656068,17543,1669909748562693358,,-3.7243066512121956,-4.307296585765348,0.8305087176555482,0.07600005792681834,-0.042000095481637606,0.04700019696388015,1.6106676357536714e-66,-3.931819601284568e-65,5.32397581256146e-64,0.008708129237820827,0.008963841622405155,0.5027896661766551,-5.188403205794667e-07,1.3114059172134625e-07,6.6755875622143e-07
1669909748958637024,17544,1669909748702800642,,-3.712060604709544,-4.307344572055756,0.8405314624039772,0.07600005792681834,-0.042000095481637606,0.04700019696388015,2.587631751649405e-172,-4.140210802639048e-171,-5.17526350329881e-172,0.009357338270792326,0.009460878293733543,0.5028228340264072,-5.187474898923721e-07,1.3116955584212384e-07,6.676684569291891e-07
1669909748960182946,17545,1669909748754035238,,-3.706533045361619,-4.308338566097075,0.83959263457997,0.0769999848936066,-0.04499994935314862,0.04499997772329085,-8.174812891668444e-67,-5.69981899034263e-67,-9.020477129576561e-65,0.009654778836296174,0.00948581252233538,0.5029554957960958,-5.186999898470834e-07,1.311581013296676e-07,6.677254240561259e-07
1669909749068115599,17546,1669909748924155475,,-3.690132552392045,-4.309352221852909,0.8512144806814226,0.07899991257195271,-0.047999841021189905,0.044000013911298326,-1.5725460863274251e-235,3.931365215818563e-236,5.0321474762477604e-234,0.010925706783355693,0.00925317254151814,0.5037996185313744,-5.185554060814992e-07,1.3109762941315007e-07,6.679299112946649e-07
1669909749148315502,17547,1669909749032343760,,-3.6800774873925497,-4.309797733231651,0.8527875064634549,0.07899991257195271,-0.047999841021189905,0.044000013911298326,-2.217736414912157e-295,-5.32899032826636e-298,2.769264187211994e-296,0.01173610977051709,0.009006827794971528,0.504435110317786,-5.184790722863015e-07,1.310635982023739e-07,6.680623633410999e-07
1669909749180351500,17548,1669909749103231857,,-3.6734885600801896,-4.310088296200706,0.8603070881554604,0.07899991257195271,-0.047999841021189905,0.044000013911298326,-2.031221730069418e-78,2.7966374261693995e-79,3.101763443196952e-78,0.012459453485634597,0.008696099553226588,0.5049313466948409,-5.184055301754262e-07,1.310055302779303e-07,6.68140556287978e-07
1669909749333765642,17549,1669909749146724346,,-3.6711424362072176,-4.310119249821006,0.8589739132500912,0.07599998487649197,-0.04599994955108192,0.04199997769805267,-9.254749020982405e-44,-1.358525491495616e-43,-1.075639628616259e-41,0.012717652354973907,0.008555897413462077,0.5050803845837688,-5.18371307387092e-07,1.309789241804201e-07,6.681642760524894e-07
1669909749523552351,17550,1669909749300343422,,-3.6574356636781653,-4.310692346149198,0.869976245873516,0.07599998477674938,-0.04599994952324653,0.03899997755096683,0.0,0.0,0.0,0.014219844669895565,0.00754798547007951,0.5056782668849387,-5.182076570040765e-07,1.3080728818634254e-07,6.682409617555326e-07
1669909749683939860,17551,1669909749488700191,,-3.640030909458243,-4.311571650037728,0.8794990318956918,0.07699998468986745,-0.046999949482298596,0.03699997742284601,-2.7081385767340974e-156,-1.0918004054788898e-155,-1.3458466287667335e-155,0.015034113149877015,0.006116255414541527,0.5057635986516722,-5.183604843351443e-07,1.3058538224821854e-07,6.682548403697571e-07
1669909749991945770,17552,1669909749651524452,,-3.6250257111695086,-4.310402691579309,0.8796763898879636,0.07999998456646382,-0.042999949392739004,0.036999977240868294,0.0,0.0,0.0,0.013927180026906072,0.004772104675772937,0.5054378678885136,-5.188123039306494e-07,1.3040059673556756e-07,6.682202321341368e-07
